id;codigo_actividad;nombre;fec_inicio;fec_fin;con_proveedor
1;64937;pricing structure program;2020-06-03T18:34:52;2020-06-04T03:01:13;false
2;44278;transitional;2020-06-03T21:41:35;2020-06-03T22:52:10;true
3;49711;Maine Lodge circuit;2020-06-04T02:27:35;2020-06-03T18:51:30;true
4;58948;Chips virtual;2020-06-04T16:34:42;2020-06-03T22:36:54;true
5;35400;Cameroon;2020-06-04T10:33:16;2020-06-04T08:48:02;true
6;67766;Planner Technician;2020-06-03T22:32:51;2020-06-04T11:11:53;true
7;40291;Liaison iterate;2020-06-04T14:04:31;2020-06-04T13:47:00;false
8;25480;digital;2020-06-04T16:03:34;2020-06-03T19:30:21;false
9;58224;Concrete Robust;2020-06-04T06:46:51;2020-06-03T21:11:22;true
10;82452;stable Salad;2020-06-03T20:09:02;2020-06-04T15:16:55;true
